"S.N.","Description","2078/079","2079/080","2080/081"
"1","Milk Production (metric ton)","25,65,614","26,13,674","26,63,704"
"1.1","Cow","11,01,617","11,17,646","12,61,798"
"1.2","Buffalo","14,64,002","14,96,027","14,01,906"
"2","Meat Production (metric ton)","5,21,956","5,30,654","5,44,767"
"2.1","Goat","1,14,020","1,16,073","1,15,297"
"2.2","Sheep","2,604","1,943","2,156"
"2.3","Buck/She-goat","34,072","37,142","56,280"
"2.4","Pig","46,048","53,533","39,183"
"2.5","Poultry","2,04,933","2,00,656","2,10,096"
"2.6","Duck","5,649","9,595","11,395"
"3","Egg (thousand dozen)","1,93,60,902","1,96,13,333","1,96,94,707"
"3.1","Poultry","1,83,60,530","1,86,10,374","1,89,07,564"
"3.2","Duck","2,00,372","2,02,959","2,87,143"
"4","Wool Production (kg)","3,64,161","3,66,184","3,64,961"
"5","Fish (metric ton)","1,08,868","1,12,936","1,23,136"